PC6,number_of_charger,total_capacity
1054CT,1,22.0
1054CW,2,22.0
1054CX,1,11.0
1054DB,1,11.0
1054DN,1,11.0
1054DR,1,22.0
1054DT,1,11.0
1054DW,1,11.0
1054DZ,2,33.0
1054EG,1,11.0
1054EN,1,22.0
1054EP,1,11.0
1054ET,1,11.0
1054EZ,1,11.0
1054GG,1,11.0
1054GK,1,11.0
1054GL,1,11.0
1054GN,1,11.0
1054GX,1,11.0
1054HX,1,11.0
1054JB,1,11.0
1054JJ,1,22.0
1054JM,1,11.0
1054KP,1,11.0
1054KS,2,22.0
1054KV,2,22.0
1054KW,1,11.0
1054LA,1,11.0
1054LC,1,22.0
1054LW,1,11.0
1054LX,1,11.0
1054LZ,1,11.0
1054MA,2,22.0
1054MG,1,11.0
1054NB,3,44.0
1054NE,1,11.0
1054NV,2,22.0
1054PS,1,11.0
1054PT,1,11.0
1054PV,1,11.0
1054SC,1,11.0
1054SN,1,11.0
1054SZ,2,33.0
1054TE,1,11.0
1054TM,1,11.0
1054TS,2,22.0
1054TT,1,11.0
1054TW,1,11.0
1054VC,1,11.0
1054VM,1,22.0
1054VN,2,44.0
1054VT,1,11.0
1054VZ,2,22.0
1054WG,1,22.0
1054WH,1,11.0
1054XE,1,22.0
1054XG,1,11.0
1054XH,1,11.0
1054XK,2,22.0
1054XL,1,22.0
1054XN,1,11.0
1054XS,1,11.0
1054XT,1,11.0
1054XV,1,11.0
1054XZ,1,22.0
1054ZB,2,22.0
1054ZD,1,11.0
1054ZG,1,22.0
1054ZH,2,33.0
1054ZP,1,11.0
1054ZT,1,11.0
1055AN,2,22.0
1055AR,1,11.0
1055BD,1,22.0
1055BL,1,11.0
1055BR,1,11.0
1055BW,1,11.0
1055CK,1,11.0
1055CL,2,22.0
1055CM,1,11.0
1055DL,1,11.0
1055DT,1,11.0
1055EE,1,11.0
1055EJ,1,11.0
1055EN,1,22.0
1055ET,2,22.0
1055EX,1,11.0
1055EZ,1,22.0
1055GB,1,11.0
1055GL,1,11.0
1055GZ,2,22.0
1055HD,1,22.0
1055JA,1,11.0
1055JD,1,11.0
1055JL,1,11.0
1055KT,1,22.0
1055LD,1,11.0
1055LE,1,11.0
1055NK,1,11.0
1055NM,1,11.0
1055NN,1,22.0
1055NR,1,11.0
1055NX,1,22.0
1055PE,1,11.0
1055PJ,1,22.0
1055PK,1,11.0
1055PS,1,11.0
1055PZ,1,22.0
1055RB,1,22.0
1055RH,1,11.0
1055RN,1,11.0
1055RX,1,11.0
1055SH,1,11.0
1055SR,1,11.0
1055SV,1,11.0
1055TA,1,11.0
1055TK,2,33.0
1055TM,2,22.0
1055TN,1,11.0
1055VB,2,33.0
1055VP,2,22.0
1055VR,1,11.0
1055VT,1,11.0
1055WB,1,11.0
1055WC,1,11.0
1055XH,1,22.0
1055XP,1,11.0
1055ZR,1,11.0
1056AK,1,11.0
1056AZ,1,11.0
1056BA,1,22.0
1056BB,1,22.0
1056BC,1,11.0
1056CW,1,11.0
1056DK,2,22.0
1056DT,2,22.0
1056EB,1,11.0
1056EM,1,11.0
1056EP,2,22.0
1056ER,1,11.0
1056ES,1,22.0
1056EW,1,11.0
1056HD,1,11.0
1056HL,3,33.0
1056HR,1,11.0
1056HT,3,44.0
1056HX,2,22.0
1056HZ,1,11.0
1056JC,1,11.0
1056JE,1,11.0
1056JL,1,11.0
1056JT,2,22.0
1056JV,1,22.0
1056KB,1,22.0
1056KH,1,22.0
1056KN,1,11.0
1056KP,1,22.0
1056NG,1,11.0
1056NP,1,11.0
1056NR,1,22.0
1056NV,1,11.0
1056PN,2,33.0
1056PV,1,11.0
1056RA,1,11.0
1056RG,1,11.0
1056RH,1,22.0
1056RL,1,11.0
1056RN,1,22.0
1056RX,1,22.0
1056SC,1,11.0
1056SE,2,33.0
1056SL,1,22.0
1056SM,1,11.0
1056SX,1,22.0
1056TG,1,11.0
1056TM,1,11.0
1056TW,2,22.0
1056VG,1,11.0
1056VK,1,22.0
1056VR,1,22.0
1056VS,1,11.0
1056VV,2,22.0
1056WB,1,11.0
1056WC,1,11.0
1056WS,1,11.0
1056WT,1,22.0
1056WV,1,11.0
1056XL,1,22.0
1056XR,1,11.0
1056XT,1,11.0
1057,1,11.0
1057AC,1,11.0
1057AN,1,11.0
1057AP,1,22.0
1057AR,1,11.0
1057AS,1,22.0
1057AX,1,22.0
1057AZ,1,11.0
1057BE,1,11.0
1057BR,1,22.0
1057CJ,1,11.0
1057CK,1,11.0
1057DM,1,22.0
1057DP,1,11.0
1057DT,1,11.0
1057EH,1,11.0
1057ET,1,11.0
1057EZ,1,22.0
1057GC,1,22.0
1057GD,1,22.0
1057GE,1,11.0
1057GV,1,11.0
