PC6,traffic_area,built_up_area,semi_built_up_area,recreational_area,agrarian_area,forest_nature_are,water_body_area
1011KP,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KR,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KS,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KT,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KV,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KW,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011KX,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011KZ,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011LA,0.4505,4.864,0.0,0.0,0.0,0.0,2.4582
1011LB,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LD,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LE,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011LH,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LJ,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LK,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LL,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LM,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LN,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LP,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LR,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LS,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LT,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LV,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LW,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LX,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011LZ,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011MA,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011MB,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011MC,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011ME,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011MG,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MH,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MJ,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MK,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011ML,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MN,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MP,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MR,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MS,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011MT,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MV,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011MX,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011MZ,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NA,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NB,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NC,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011ND,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NE,0.0,6.004,0.0,0.0,0.0,0.0,1.115
1011NG,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NH,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011NK,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NM,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NN,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NP,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NR,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NS,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NV,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NX,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011NZ,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PA,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PB,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PC,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PD,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PE,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PG,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PL,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PM,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PN,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PT,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PV,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PW,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011PZ,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RA,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RB,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RC,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RD,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RE,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RG,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RH,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RJ,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RK,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RL,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RM,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RN,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RP,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RR,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011RS,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RT,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RV,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RW,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RX,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011RZ,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SB,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SC,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SE,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SG,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SK,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SM,0.4239,7.3517,0.3183,0.0,0.0,0.0,2.5958
1011SN,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SP,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SR,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011ST,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SV,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SW,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SX,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011SZ,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011TA,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011TB,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TC,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TD,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TE,1.9677,3.3855,0.0,0.0,0.0,0.0,5.4374
1011TG,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TJ,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TK,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011TL,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TM,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TN,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TP,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TR,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TS,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TT,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TV,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TW,1.4663,6.4055,0.06095,0.0,0.0,0.0,4.0515
1011TX,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011TZ,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011VA,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011VB,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011VC,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VD,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VE,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VG,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VH,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VJ,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VK,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VL,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VM,0.4712,6.228,0.1219,0.0,0.0,0.0,0.543
1011VP,1.44265,6.96735,0.15915,0.0,0.0,0.0,5.0779
1011VR,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011VS,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011VT,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011VW,1.048,10.1324,0.0,0.0,0.0,0.0,1.776
1011VX,1.38035,11.27755,0.0805,0.235,0.0,0.0,6.23985
1011VZ,2.4614,6.583,0.0,0.0,0.0,0.0,7.56
1011WB,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011WC,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011WD,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1011XA,0.0,6.8394,0.0,0.0,0.0,0.0,2.2632
1012AA,13.5436,0.3544,0.0,0.0,0.0,0.0,12.1431
1012AB,7.6548,2.04425,0.0,0.0,0.0,0.0,6.621700000000001
1012AC,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AD,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AE,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AG,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AH,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AJ,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AK,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AL,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AM,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AN,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
1012AP,0.8236,5.1596,0.0,0.0,0.0,0.0,2.0607
